brand,variation,series_description,overprint,factory_number
American Beauty,Frame,350 Series,FALSE,25
American Beauty,No Frame,350 Series,FALSE,25
American Beauty,,460 Series,FALSE,42
Broad Leaf,,350 Series,FALSE,25
Broad Leaf,,460 Series,FALSE,25
Carolina Brights,,Assorted,FALSE,25
Cycle,,350 Series,FALSE,25
Cycle,,460 Series,FALSE,25
Drum,,350 Series,FALSE,25
El Principe de Gales,,Assorted,FALSE,17
Hindu,Brown,Assorted,FALSE,649
Hindu,Red,Assorted,FALSE,649
Lenox,Black,Assorted,FALSE,30
Lenox,Brown,Assorted,FALSE,30
Old Mill,,Assorted,FALSE,25
Old Mill,SL,Assorted,FALSE,25
Piedmont,,150 Series,FALSE,25
Piedmont,,350 Series,FALSE,25
Piedmont,,350-460 Series,FALSE,25
Piedmont,,350-460 Series,FALSE,42
Polar Bear,,Assorted,FALSE,6
Sovereign,,150 Series,FALSE,25
Sovereign,,350 Series,FALSE,25
Sovereign,,460 Series,FALSE,25
Sweet Caporal,,150 Series,FALSE,25
Sweet Caporal,,150 Series,FALSE,30
Sweet Caporal,,150 Series,FALSE,649
Sweet Caporal,,350 Series,FALSE,25
Sweet Caporal,,350 Series,FALSE,30
Sweet Caporal,,350-460 Series,FALSE,25
Sweet Caporal,,350-460 Series,FALSE,30
Sweet Caporal,,350-460 Series,FALSE,42
Sweet Caporal,,350-460 Series,TRUE,42
Tolstoi,,Assorted,FALSE,30
Uzit,,Assorted,FALSE,30
