first_name,last_name,pose,team_name,hof,portrait,horizontal,lipset_number
Ed,Abbaticchio,Brown Sleeves,Pittsburgh,FALSE,FALSE,FALSE,
Ed,Abbaticchio,Blue Sleeves,Pittsburgh,FALSE,FALSE,FALSE,
Fred,Abbott,,Toledo,FALSE,TRUE,FALSE,
Bill,Abstein,,Pittsburgh,FALSE,TRUE,FALSE,
Doc,Adkins,,Baltimore,FALSE,TRUE,FALSE,
Whitey,Alperman,,Brooklyn,FALSE,FALSE,FALSE,
Red,Ames,Portrait,N. Y. Nat'l,FALSE,TRUE,FALSE,
Red,Ames,Hands At Chest,N. Y. Nat'l,FALSE,FALSE,FALSE,
Red,Ames,Hands Over Head,N. Y. Nat'l,FALSE,FALSE,FALSE,
John,Anderson,,Providence,FALSE,FALSE,FALSE,
Frank,Arellanes,,Boston Amer.,FALSE,FALSE,FALSE,
Herman,Armbruster,,St. Paul,FALSE,TRUE,FALSE,
Harry,Arndt,,Providence,FALSE,TRUE,FALSE,
Jake,Atz,,Chicago Amer.,FALSE,TRUE,FALSE,
Home Run,Baker,,Phila. Amer.,TRUE,FALSE,FALSE,
Neal,Ball,New York,N. Y. Amer.,FALSE,FALSE,FALSE,
Neal,Ball,Cleveland,Cleveland,FALSE,FALSE,FALSE,
Jap,Barbeau,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Cy,Barger,,Rochester,FALSE,TRUE,FALSE,
Jack,Barry,,Phila. Amer.,FALSE,TRUE,FALSE,
Shad,Barry,,Milwaukee,FALSE,TRUE,FALSE,
Jack,Bastian,,San Antonio,FALSE,FALSE,FALSE,
Emil,Batch,,Rochester,FALSE,TRUE,FALSE,
Johnny,Bates,,Boston Nat'l.,FALSE,FALSE,FALSE,
Harry,Bay,,Nashville,FALSE,FALSE,FALSE,
Ginger,Beaumont,,Boston Nat'l.,FALSE,TRUE,FALSE,
Fred,Beck,,Boston Nat'l.,FALSE,FALSE,FALSE,
Beals,Becker,,Boston Nat'l.,FALSE,FALSE,FALSE,
Jake,Beckley,,Kansas City,TRUE,TRUE,FALSE,
George,Bell,Hands Above Head,Brooklyn,FALSE,FALSE,FALSE,
George,Bell,Follow Through,Brooklyn,FALSE,FALSE,FALSE,
Chief,Bender,Portrait,Phila. Amer.,TRUE,TRUE,FALSE,
Chief,Bender,"Pitching, Trees In Back",Phila. Amer.,TRUE,FALSE,FALSE,
Chief,Bender,"Pitching, No Trees",Phila. Amer.,TRUE,FALSE,FALSE,
Bill,Bergen,Batting,Brooklyn,FALSE,FALSE,FALSE,
Bill,Bergen,Catching,Brooklyn,FALSE,FALSE,FALSE,
Heinie,Berger,,Cleveland,FALSE,FALSE,FALSE,
Bill,Bernhard,,Nashville,FALSE,FALSE,FALSE,
Bob,Bescher,Portrait,Cincinnati,FALSE,TRUE,FALSE,
Bob,Bescher,Hands In Air,Cincinnati,FALSE,FALSE,FALSE,
Joe,Birmingham,,Cleveland,FALSE,FALSE,TRUE,
Lena,Blackburne,,Providence,FALSE,FALSE,FALSE,
Jack,Bliss,,St. Louis Nat'l.,FALSE,FALSE,FALSE,
Frank,Bowerman,,Boston Nat'l.,FALSE,TRUE,FALSE,
Bill,Bradley,Portrait,Cleveland,FALSE,TRUE,FALSE,
Bill,Bradley,With Bat,Cleveland,FALSE,FALSE,FALSE,
