first_name,last_name,pose,city,league
Ed,Abbaticchio,Brown Sleeves,Pittsburgh,National
Ed,Abbaticchio,Blue Sleeves,Pittsburgh,National
Fred,Abbott,,Toledo,Minor
Bill,Abstein,,Pittsburgh,National
Doc,Adkins,,Baltimore,Minor
Whitey,Alperman,,Brooklyn,National
Red,Ames,Portrait,New York,National
Red,Ames,Hands At Chest,New York,National
Red,Ames,Hands Over Head,New York,National
John,Anderson,,Providence,Minor
Frank,Arellanes,,Boston,American
Herman,Armbruster,,St. Paul,Minor
Harry,Arndt,,Providence,Minor
Jake,Atz,,Chicago,American
Home Run,Baker,,Philadelphia,American
Neal,Ball,Cleveland,Cleveland,American
Neal,Ball,New York,New York,American
Jap,Barbeau,,St. Louis,National
Cy,Barger,,Rochester,Minor
Shad,Barry,,Milwaukee,Minor
Jack,Barry,,Philadelphia,American
Jack,Bastian,,San Antonio,Southern
Emil,Batch,,Rochester,Minor
Johnny,Bates,,Boston,National
Harry,Bay,,Nashville,Southern
Ginger,Beaumont,,Boston,National
Fred,Beck,,Boston,National
Beals,Becker,,Boston,National
Jake,Beckley,,Kansas City,Minor
George,Bell,Hands Above Head,Brooklyn,National
George,Bell,Follow Through,Brooklyn,National
Chief,Bender,Portrait,Philadelphia,American
Chief,Bender,"Pitching, Trees In Back",Philadelphia,American
Chief,Bender,"Pitching, No Trees",Philadelphia,American
Bill,Bergen,Batting,Brooklyn,National
Bill,Bergen,Catching,Brooklyn,National
Heinie,Berger,,Cleveland,American
Bill,Bernhard,,Nashville,Southern
Bob,Bescher,Portrait,Cincinnati,National
Bob,Bescher,Hands In Air,Cincinnati,National
Joe,Birmingham,,Cleveland,American
Lena,Blackburne,,Providence,Minor
Jack,Bliss,,St. Louis,National
Frank,Bowerman,,Boston,National
Bill,Bradley,Portrait,Cleveland,American
Bill,Bradley,With Bat,Cleveland,American
Dave,Brain,,Buffalo,Minor
Kitty,Bransfield,,Philadelphia,National
Roy,Brashear,,Kansas City,Minor
Ted,Breitenstein,,New Orleans,Southern
Roger,Bresnahan,Portrait,St. Louis,National
Roger,Bresnahan,With Bat,St. Louis,National
Al,Bridwell,No Cap,New York,National
Al,Bridwell,With Cap,New York,National
Mordecai,Brown,Portrait,Chicago,National
